fips,net_migration_rate_65plus,net_migrants_65plus,total_expected_65plus,total_pop_2010,pop_65plus_2010,pct_65plus_2010,pct_55_64_2010,seasonal_housing_share_2010,total_pop_2020,pop_65plus_2020,pct_65plus_2020,change_65plus_pct,median_hh_income_2010,median_house_value_2010,healthcare_share_2010,manufacturing_share_2010,Scale,land_area_sqmi,state_fips,state_income_tax_2010,log_pop_2010,pop_density,is_rural,is_metro,is_south,is_west,is_coastal
08015,6.238309516570386,204.0,3289.0,17809,3523,19.78213262956932,17.5753832331967,0.3592814371257485,19977,5037,25.213996095509838,5.43186346594052,42.941,24.81,0.13410496906805028,0.030333266813011375,6.46,1013.408,08,4.63,9.787459226476006,17.573376172282043,0,0,0,1,0
08017,-4.3257396449704135,-14.0,338.0,1836,328,17.86492374727669,14.270152505446623,0.10256410256410256,1999,355,17.75887943971986,-0.10604430755683225,47.125,8.07,0.0,0.0,-0.04,1778.276,08,4.63,7.515344571180436,1.0324606529020242,1,0,0,1,0
08019,-14.750873196659075,-194.0,1317.0,9088,1132,12.455985915492958,19.773327464788732,0.38698328935795956,9533,1921,20.151054232665476,7.6950683171725185,60.426,28.0,0.016568047337278107,0.011439842209072978,6.96,395.199,08,4.63,9.114710140960932,22.996009605287462,0,0,0,1,0
08021,-8.540922401171303,-118.0,1366.0,8256,1254,15.188953488372093,13.214631782945737,0.25664955669622025,8130,1545,19.00369003690037,3.814736548528277,33.627,11.22,0.0,0.0,4.98,1287.437,08,4.63,9.018695487721343,6.412740972956347,1,0,0,1,0
08023,-0.44071782178217644,-4.0,808.0,3524,807,22.900113507377977,17.082860385925088,1.2629161882893225,3810,1001,26.272965879265094,3.3728523718871166,24.388,10.52,0.0,0.0,4.96,1227.593,08,4.63,8.16735198705607,2.870658271919113,1,0,0,1,0
08025,1.8026800670016747,10.0,597.0,5823,614,10.544392924609308,11.385883565172591,1.2828736369467608,5733,839,14.63457177742892,4.090178852819612,38.189,8.14,0.0,0.0,2.6,787.428,08,4.63,8.66957087183712,7.39496182508115,1,0,0,1,0
08027,14.167835550181378,117.0,827.0,4255,954,22.420681551116335,24.08930669800235,0.2527805864509606,4941,1681,34.02145314713621,11.600771596019872,39.909,21.84,0.0,0.04085257548845471,5.61,738.626,08,4.63,8.355850041007475,5.760696211614539,1,0,0,1,0
08029,8.345430672268906,475.0,5712.0,30952,6239,20.157017317136212,15.704962522615663,0.26763656327202856,30758,7959,25.87619481110605,5.719177493969838,40.451,19.39,0.2514705882352941,0.08823529411764706,3.64,1142.127,08,4.63,10.34019289638035,27.100313712923345,0,0,0,1,0
08031,-9.928129280447644,-6853.0,68626.0,600158,62132,10.35260714678468,10.287790881734477,0.25822524379192224,715878,84203,11.76219970441891,1.4095925576342303,45.501,24.09,0.12504920899092384,0.043010694301530976,2.88,153.292,08,4.63,13.304948232865481,3915.129295723195,0,1,0,1,0
08033,4.910928961748633,18.0,366.0,2064,388,18.7984496124031,15.64922480620155,0.20435967302452315,1896,711,37.5,18.7015503875969,43.058,13.62,0.17616580310880828,0.0,4.38,1067.17,08,4.63,7.6324011266014535,1.9340873525305244,1,0,0,1,0
